country_code,country_name,AG.LND.ARBL.HA.PC,NE.GDI.FTOT.CD,NV.IND.TOTL.ZS,NY.GDP.PCAP.CD,SE.XPD.TOTL.GD.ZS,SL.TLF.ADVN.ZS,SP.POP.TOTL
FRA,France,0.266284308222629,610343995697.254,16.907003960354,40408.2848574751,5.36638021469116,76.637,67382061.0
FRO,Faroe Islands,0.001274328081557,,19.1133470734853,63068.2872688483,,,51792.0
FSM,"Micronesia, Fed. Sts.",0.018135325801128,,4.81791878172589,3572.65918282222,10.6931682741117,,110282.0
GAB,Gabon,0.143316638047436,3695291725.63957,47.6788640928906,7441.1786472281,2.87430983233369,,2267706.0
GBR,United Kingdom,0.0913328390689019,541533790406.248,17.8736338534045,43158.7411267323,5.26115989685059,84.573,66631000.0
GEO,Georgia,0.0825233101470608,4226638691.82747,20.0073713952459,4741.2832715876,3.82985997200012,71.978,3720161.0
GHA,Ghana,0.149129905055977,12329579651.8877,31.1077243700312,2186.65822682613,3.15307114842573,,31258945.0
GIB,Gibraltar,,,,,,,35494.0
GIN,Guinea,0.377379854731492,2392727329.42071,29.390798702636,1031.34146480732,1.85812997817993,79.511,13034346.0
GMB,"Gambia, The",0.179091549972241,447124489.145669,17.2826008332323,738.186751987483,2.80809703332656,,2456844.0
GNB,Guinea-Bissau,0.186488766557436,381544420.978481,15.6395774663519,811.216425885129,,80.454,1967696.0
GNQ,Equatorial Guinea,0.0317331636108029,1294713673.52503,52.0754100364789,6804.14923073888,,,1670177.0
GRC,Greece,0.198506955410125,22742389982.1255,13.4139572418293,19335.3602002969,3.55062007904053,75.71,10721582.0
GRD,Grenada,0.0258663056880006,,13.6417603413492,10462.7929159533,,77.911,115981.0
GRL,Greenland,,922655206.646068,17.1422282695694,53309.2035905065,,,56225.0
GTM,Guatemala,0.0899215221316569,11096833330.345,21.9422533815816,4511.99839552697,3.19297003746033,81.434,17103803.0
GUM,Guam,0.0061801641451597,,,39274.9431424899,,,161808.0
GUY,Guyana,0.120099298595333,,28.6892259316288,6405.82443444562,,79.312,807665.0
HKG,"Hong Kong SAR, China",0.000399579110004129,66434470911.3177,6.25471437479218,48359.0011950597,3.81017994880676,76.492,7507900.0
HND,Honduras,0.102377068823839,5674316204.65014,26.7243168964313,2502.32744328073,5.98198266311593,83.443,9943633.0
HRV,Croatia,0.208386611603311,13467828707.5598,19.5762975915854,15563.5987295029,3.94555997848511,71.458,3949390.0
HTI,Haiti,0.0900482055058534,2783420157.95948,23.3823262210182,1352.17204191532,1.08414978067408,,11105163.0
HUN,Hungary,0.445289156358073,44737992843.8726,24.6337376234071,17012.8598553199,4.22488021850586,73.261,9694824.0
IDN,Indonesia,0.0653496643966467,361993943405.603,38.9517679950779,4106.94856160358,0.964399077622927,84.082,272489381.0
IMN,Isle of Man,0.285860619126458,,7.59325582917094,87127.5517977404,,,83957.0
IND,India,0.11185429047714,806858839433.266,24.5914753075066,2041.42863698585,3.89732003211975,61.446,1389030312.0
IRL,Ireland,0.0890191734841019,216680094728.408,35.880910077936,81827.6688873996,3.22984004020691,81.153,4976456.0
IRN,"Iran, Islamic Rep.",0.179433708136117,87848325364.7597,33.4149250633862,3997.4935449585,3.24005007743835,57.845,87051648.0
IRQ,Iraq,0.120629718690962,46175981387.4789,53.1094032824868,5671.8568632942,,,41192171.0
